model,total_seconds,mean_seconds,mean_best_epoch,min_best_epoch,max_best_epoch
MLP_small_RLR_Huber,452.85642430000144,30.190428286666762,42.8,25,65
MLP_small_RLR_MAE,359.14255770000045,23.94283718000003,36.666666666666664,26,50
MLP_base_MAE,358.90279879999935,23.926853253333288,27.0,17,46
MLP_current_MAE,333.18549080000184,22.212366053333458,18.266666666666666,7,36
