model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,seeds,delta_mae_vs_lasso
MLP_small_RLR_Huber,5.688512325286865,0.27413931488990784,7.436955451965332,0.3114302456378937,0.147638539011501,0.05796223940176253,3,-0.014919807848238875
MLP_small_RLR_MAE,5.692685127258301,0.2721826434135437,7.455569267272949,0.3157271444797516,0.14337828872044642,0.05863369269166514,3,-0.010747005876803328
MLP_current_MAE,5.6982526779174805,0.28239795565605164,7.446864128112793,0.3080577552318573,0.14565827404862525,0.05023016763752517,3,-0.005179455217623641
Lasso,5.703432133135104,0.20893374092443398,7.220430956076344,0.25865206446075284,0.19687469281920067,0.04123605394380507,1,0.0
ElasticNet,5.705169100648759,0.21040243276428133,7.221092599539356,0.2598559219855986,0.19672793483772252,0.041411131375183735,1,0.0017369675136551521
MLP_base_MAE,5.758309364318848,0.2849280536174774,7.56394100189209,0.3319180905818939,0.11817887035910761,0.06351549823445797,3,0.05487723118374355
