competition,player_id,player_name,appearances,first_date,last_date,mean_minutes,mean_pir
acb,rupnik luka||acb,"Rupnik, Luka",17,2017-09-30,2018-01-21,11.651960784313726,3.7058823529411766
acb,sabat albert||acb,"Sabat, Albert",17,2017-09-30,2018-01-21,17.105882352941176,4.588235294117647
acb,saiz sebas||acb,"Saiz, Sebas",17,2017-10-01,2018-01-21,16.40294117647059,8.705882352941176
acb,salgado javier||acb,"Salgado, Javier",17,2017-09-30,2018-01-21,8.591176470588236,3.1176470588235294
acb,salin sasu||acb,"Salin, Sasu",17,2017-10-01,2018-01-21,17.471568627450978,6.294117647058823
acb,salvo miquel||acb,"Salvo, Miquel",17,2017-10-01,2018-01-21,18.272549019607844,4.9411764705882355
acb,san emeterio||acb,San Emeterio,8,2017-11-05,2018-01-21,25.520833333333332,17.375
acb,san miguel r.||acb,"San Miguel, R.",17,2017-10-01,2018-01-21,25.3578431372549,7.235294117647059
acb,sanchez a.||acb,"Sanchez, A.",17,2017-10-01,2018-01-21,9.990196078431373,-0.6470588235294118
acb,sanders rakim||acb,"Sanders, Rakim",11,2017-09-29,2018-01-21,18.55909090909091,6.454545454545454
acb,sane landing||acb,"Sane, Landing",3,2018-01-06,2018-01-21,15.561111111111112,9.0
acb,sanz mikel||acb,"Sanz, Mikel",3,2017-10-15,2018-01-21,1.9166666666666667,-0.6666666666666666
acb,sastre joan||acb,"Sastre, Joan",8,2017-10-01,2018-01-21,22.639583333333334,10.0
acb,savane sitapha||acb,"Savane, Sitapha",17,2017-10-05,2018-01-21,10.134313725490196,3.411764705882353
acb,savic emil||acb,"Savic, Emil",2,2017-12-30,2018-01-14,0.0,0.0
acb,schilb blake||acb,"Schilb, Blake",16,2017-10-04,2018-01-21,24.114583333333332,11.1875
acb,schneider hugo||acb,"Schneider, Hugo",1,2017-11-19,2017-11-19,0.0,0.0
acb,schreiner thomas||acb,"Schreiner, Thomas",17,2017-10-01,2018-01-21,16.827450980392157,3.9411764705882355
acb,sedekerskis tadas||acb,"Sedekerskis, Tadas",12,2017-10-01,2017-12-16,7.079166666666667,3.25
acb,seeley dj||acb,"Seeley, DJ",17,2017-10-01,2018-01-21,22.41372549019608,9.352941176470589
acb,sekulic blagota||acb,"Sekulic, Blagota",17,2017-09-30,2018-01-21,19.676470588235293,7.882352941176471
acb,seraphin kevin||acb,"Seraphin, Kevin",14,2017-09-29,2018-01-02,18.601190476190478,10.142857142857142
acb,shengelia t.||acb,"Shengelia, T.",16,2017-10-05,2018-01-21,26.1375,20.875
acb,shermadini giorgi||acb,"Shermadini, Giorgi",17,2017-10-01,2018-01-21,17.59313725490196,15.470588235294118
acb,shurna john||acb,"Shurna, John",17,2017-10-01,2018-01-21,21.64901960784314,4.882352941176471
acb,simons benjamin||acb,"Simons, Benjamin",17,2017-09-30,2018-01-21,10.180392156862744,0.8823529411764706
acb,smits rolands||acb,"Smits, Rolands",17,2017-09-30,2018-01-21,23.93235294117647,9.235294117647058
acb,soko ovie||acb,"Soko, Ovie",17,2017-10-01,2018-01-21,21.840196078431372,8.588235294117647
acb,sola adams||acb,"Sola, Adams",4,2017-11-19,2017-12-31,2.183333333333333,0.5
acb,soluade morayo||acb,"Soluade, Morayo",8,2017-10-01,2018-01-02,4.89375,0.25
acb,spires nick||acb,"Spires, Nick",8,2017-12-03,2018-01-21,8.697916666666666,3.0
acb,stevic oliver||acb,"Stevic, Oliver",17,2017-10-01,2018-01-21,20.45294117647059,10.0
acb,suarez alex||acb,"Suarez, Alex",17,2017-09-30,2018-01-21,13.806862745098039,3.235294117647059
acb,suarez carlos||acb,"Suarez, Carlos",17,2017-10-01,2018-01-21,20.815686274509805,13.882352941176471
acb,suton goran||acb,"Suton, Goran",17,2017-10-05,2018-01-21,21.484313725490196,8.176470588235293
acb,swing jordan||acb,"Swing, Jordan",17,2017-10-01,2018-01-21,24.96078431372549,7.823529411764706
acb,tabu jonathan||acb,"Tabu, Jonathan",14,2017-09-30,2018-01-21,22.434523809523807,10.571428571428571
