competition,rows,pearson_mp_pir,spearman_mp_pir
acb,3633.0,0.6237196692465681,0.6555200321387665
eurocup,3316.0,0.6635269316747399,0.7049114577781147
euroleague,3628.0,0.6777400459949974,0.711686605031392
