Number,GS,Player,MP,PTS,TwoP,TwoPA,TwoPPerc,ThreeP,ThreePA,ThreePPerc,FT,FTA,FTPerc,TRB,DRB,ORB,AST,STL,TOV,Counteratt,BLKfv,BLKag,Dunks,PF,PFrv,PlusMinus,PIR,Season,Type_season,Day,Date,Game,GameRes,Team,GameID,Website,CombinID,competition,MP_min,match_id,player_name_norm,player_id
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2017-2018,Regular Season,1,2017-10-01,real madrid - morabanc andorra,94 - 88,0,1,http://www.acb.com/fichas/LACB62001.php,,acb,0.0,2017-10-01||real madrid - morabanc andorra,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,1,2,0,0,0,0,0,0,0,0,0,0,3,2017-2018,Regular Season,1,2017-10-01,real madrid - morabanc andorra,94 - 88,0,1,http://www.acb.com/fichas/LACB62001.php,,acb,0.0,2017-10-01||real madrid - morabanc andorra,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2017-2018,Regular Season,1,2017-10-01,herbalife gran canaria - gipuzkoa basket,84 - 76,0,2,http://www.acb.com/fichas/LACB62002.php,,acb,0.0,2017-10-01||herbalife gran canaria - gipuzkoa basket,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,6,2,4,0,0,0,0,0,0,0,0,0,0,6,2017-2018,Regular Season,1,2017-10-01,herbalife gran canaria - gipuzkoa basket,84 - 76,0,2,http://www.acb.com/fichas/LACB62002.php,,acb,0.0,2017-10-01||herbalife gran canaria - gipuzkoa basket,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2017-2018,Regular Season,1,2017-09-30,monbus obradoiro - tecnyconta zaragoza,80 - 74,0,3,http://www.acb.com/fichas/LACB62003.php,,acb,0.0,2017-09-30||monbus obradoiro - tecnyconta zaragoza,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,2,2,0,0,0,0,0,0,0,0,0,0,4,2017-2018,Regular Season,1,2017-09-30,monbus obradoiro - tecnyconta zaragoza,80 - 74,0,3,http://www.acb.com/fichas/LACB62003.php,,acb,0.0,2017-09-30||monbus obradoiro - tecnyconta zaragoza,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,2017-2018,Regular Season,1,2017-10-01,real betis energia plus - valencia basket,80 - 90,0,4,http://www.acb.com/fichas/LACB62004.php,,acb,0.0,2017-10-01||real betis energia plus - valencia basket,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,5,4,1,0,0,0,0,0,0,0,0,0,0,5,2017-2018,Regular Season,1,2017-10-01,real betis energia plus - valencia basket,80 - 90,0,4,http://www.acb.com/fichas/LACB62004.php,,acb,0.0,2017-10-01||real betis energia plus - valencia basket,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2017-2018,Regular Season,1,2017-09-29,fc barcelona lassa - baskonia,87 - 82,0,5,http://www.acb.com/fichas/LACB62005.php,,acb,0.0,2017-09-29||fc barcelona lassa - baskonia,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,8,6,2,0,0,0,0,0,0,0,0,0,0,8,2017-2018,Regular Season,1,2017-09-29,fc barcelona lassa - baskonia,87 - 82,0,5,http://www.acb.com/fichas/LACB62005.php,,acb,0.0,2017-09-29||fc barcelona lassa - baskonia,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,Regular Season,1,2017-10-01,ucam murcia - unicaja,64 - 74,0,6,http://www.acb.com/fichas/LACB62006.php,,acb,0.0,2017-10-01||ucam murcia - unicaja,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2017-2018,Regular Season,1,2017-10-01,ucam murcia - unicaja,64 - 74,0,6,http://www.acb.com/fichas/LACB62006.php,,acb,0.0,2017-10-01||ucam murcia - unicaja,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,2017-2018,Regular Season,1,2017-09-30,montakit fuenlabrada - retabet bilbao basket,82 - 68,0,7,http://www.acb.com/fichas/LACB62007.php,,acb,0.0,2017-09-30||montakit fuenlabrada - retabet bilbao basket,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,1,2,0,0,2,0,0,0,0,0,0,0,1,2017-2018,Regular Season,1,2017-09-30,montakit fuenlabrada - retabet bilbao basket,82 - 68,0,7,http://www.acb.com/fichas/LACB62007.php,,acb,0.0,2017-09-30||montakit fuenlabrada - retabet bilbao basket,equipo,equipo||acb
0,0,Equipo,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,2017-2018,Regular Season,1,2017-10-01,san pablo burgos - iberostar tenerife,65 - 81,0,8,http://www.acb.com/fichas/LACB62008.php,,acb,0.0,2017-10-01||san pablo burgos - iberostar tenerife,equipo,equipo||acb
