competition,MP_min_count,MP_min_mean,MP_min_std,MP_min_median,MP_min_min,MP_min_max,PIR_count,PIR_mean,PIR_std,PIR_median,PIR_min,PIR_max,PTS_count,PTS_mean,PTS_std,PTS_median,PTS_min,PTS_max,TRB_count,TRB_mean,TRB_std,TRB_median,TRB_min,TRB_max,AST_count,AST_mean,AST_std,AST_median,AST_min,AST_max
acb,3633,16.983214056335445,8.90701455084531,18.266666666666666,0.0,44.583333333333336,3633,7.020919350399119,7.521123156671631,6.0,-11,42,3633,6.830167905312414,5.851037541129193,6.0,0,35,3633,2.6900633085604184,2.5170679093994193,2.0,0,16,3633,1.3327828241123039,1.7365488051467046,1.0,0,12
eurocup,3316,17.475929835142743,9.868437034072864,18.791666666666668,0.0,43.06666666666667,3316,7.429734620024125,8.29226007335289,6.0,-9,44,3316,7.0738841978287095,6.339297779828381,6.0,0,42,3316,2.634197828709288,2.5371616286872207,2.0,0,18,3316,1.526236429433052,1.9462395524103184,1.0,0,13
euroleague,3628,16.855016538037486,9.874204211489188,18.25,0.0,42.1,3628,7.118246968026461,7.993143464604202,6.0,-11,42,3628,6.654630650496141,6.115113284181781,6.0,0,33,3628,2.548235942668137,2.513408141949041,2.0,0,17,3628,1.4627894156560088,1.927839129337791,1.0,0,15
