competition,player_name_norm,rows,written_variants,variants
euroleague,demir berk,18,1,"Demir, Berk"
euroleague,fridzon vitaly,18,1,"Fridzon, Vitaly"
euroleague,granger jayson,18,1,"Granger, Jayson"
euroleague,gudaitis arturas,18,1,"Gudaitis, Arturas"
euroleague,hickman ricky,18,1,"Hickman, Ricky"
euroleague,khryapa victor,18,1,"Khryapa, Victor"
euroleague,mahmutoglu melih,18,1,"Mahmutoglu, Melih"
euroleague,markovic stefan,18,1,"Markovic, Stefan"
euroleague,martinez rafa,18,1,"Martinez, Rafa"
euroleague,mclean jamel,18,1,"Mclean, Jamel"
euroleague,papapetrou ioannis,18,1,"Papapetrou, Ioannis"
euroleague,roll michael,18,1,"Roll, Michael"
euroleague,salin sasu,18,1,"Salin, Sasu"
euroleague,shermadini giorgi,18,1,"Shermadini, Giorgi"
euroleague,sloukas kostas,18,1,"Sloukas, Kostas"
euroleague,theodore jordan,18,1,"Theodore, Jordan"
euroleague,todorovic marko,18,1,"Todorovic, Marko"
euroleague,ulanovas edgaras,18,1,"Ulanovas, Edgaras"
euroleague,vesely jan,18,1,"Vesely, Jan"
euroleague,vildoza luca,18,1,"Vildoza, Luca"
euroleague,waczynski adam,18,1,"Waczynski, Adam"
euroleague,zaytsev vyacheslav,18,1,"Zaytsev, Vyacheslav"
acb,abromaitis tim,17,1,"Abromaitis, Tim"
acb,agbelese danny,17,1,"Agbelese, Danny"
acb,albicy andrew,17,1,"Albicy, Andrew"
acb,allen rosco,17,1,"Allen, Rosco"
acb,anosike oderah,17,1,"Anosike, Oderah"
acb,arteaga victor,17,1,"Arteaga, Victor"
acb,augustine james,17,1,"Augustine, James"
acb,balvin ondrej,17,1,"Balvin, Ondrej"
acb,barreiro j.,17,1,"Barreiro, J."
acb,barrera alex,17,1,"Barrera, Alex"
acb,bellas tomas,17,1,"Bellas, Tomas"
acb,bendzius eimantas,17,1,"Bendzius, Eimantas"
acb,benite vitor,17,1,"Benite, Vitor"
acb,blazic jaka,17,1,"Blazic, Jaka"
acb,blums janis,17,1,"Blums, Janis"
acb,brizuela dario,17,1,"Brizuela, Dario"
acb,brooks jeff,17,1,"Brooks, Jeff"
acb,brown alec,17,1,"Brown, Alec"
acb,campazzo facu,17,1,"Campazzo, Facu"
acb,chery kenny,17,1,"Chery, Kenny"
acb,clark daniel,17,1,"Clark, Daniel"
acb,colom guillem,17,1,"Colom, Guillem"
acb,cook omar,17,1,"Cook, Omar"
acb,corbacho a.,17,1,"Corbacho, A."
acb,cruz francisco,17,1,"Cruz, Francisco"
acb,cruz ivan,17,1,"Cruz, Ivan"
acb,de jong nicolas,17,1,"De Jong, Nicolas"
acb,delia marcos,17,1,"Delia, Marcos"
acb,diaz alberto,17,1,"Diaz, Alberto"
acb,dimitrijevic n.,17,1,"Dimitrijevic, N."
acb,doornekamp a.,17,1,"Doornekamp, A."
acb,dragovic nikola,17,1,"Dragovic, Nikola"
acb,eyenga c.,17,1,"Eyenga, C."
acb,fakuade michael,17,1,"Fakuade, Michael"
acb,fernandez jaime,17,1,"Fernandez, Jaime"
acb,fischer luke,17,1,"Fischer, Luke"
acb,fisher corey,17,1,"Fisher, Corey"
acb,franch josep,17,1,"Franch, Josep"
acb,gailius deividas,17,1,"Gailius, Deividas"
acb,gielo tomasz,17,1,"Gielo, Tomasz"
acb,golubovic v.,17,1,"Golubovic, V."
acb,granger jayson,17,1,"Granger, Jayson"
acb,hakanson ludde,17,1,"Hakanson, Ludde"
acb,hammink shane,17,1,"Hammink, Shane"
acb,hanga adam,17,1,"Hanga, Adam"
acb,hannah clevin,17,1,"Hannah, Clevin"
acb,hervelle axel,17,1,"Hervelle, Axel"
acb,huertas m.,17,1,"Huertas, M."
acb,huskic goran,17,1,"Huskic, Goran"
acb,jelinek david,17,1,"Jelinek, David"
acb,jordan jerome,17,1,"Jordan, Jerome"
acb,kelly ryan,17,1,"Kelly, Ryan"
acb,kloof charlon,17,1,"Kloof, Charlon"
acb,koponen petteri,17,1,"Koponen, Petteri"
acb,laksa martins,17,1,"Laksa, Martins"
acb,llorente sergio,17,1,"Llorente, Sergio"
acb,llovet nacho,17,1,"Llovet, Nacho"
acb,lopez alex,17,1,"Lopez, Alex"
acb,lukovic marko,17,1,"Lukovic, Marko"
acb,martinez edu,17,1,"Martinez, Edu"
acb,martinez rafa,17,1,"Martinez, Rafa"
acb,mccallum ray,17,1,"McCallum, Ray"
acb,mekel gal,17,1,"Mekel, Gal"
acb,michalak michal,17,1,"Michalak, Michal"
acb,mumbru alex,17,1,"Mumbru, Alex"
acb,navarro david,17,1,"Navarro, David"
acb,nedovic nemanja,17,1,"Nedovic, Nemanja"
acb,nelson luke,17,1,"Nelson, Luke"
acb,niang mamadou,17,1,"Niang, Mamadou"
acb,nogues jose i.,17,1,"Nogues, Jose I."
acb,norel henk,17,1,"Norel, Henk"
acb,okouo viny,17,1,"Okouo, Viny"
acb,olaseni gabriel,17,1,"Olaseni, Gabriel"
acb,oleary ian,17,1,"O'Leary, Ian"
acb,oleson brad,17,1,"Oleson, Brad"
acb,pasecniks anzejs,17,1,"Pasecniks, Anzejs"
acb,pena dagoberto,17,1,"Pena, Dagoberto"
acb,perez daniel,17,1,"Perez, Daniel"
acb,pleiss tibor,17,1,"Pleiss, Tibor"
acb,poirier vincent,17,1,"Poirier, Vincent"
acb,popovic marko,17,1,"Popovic, Marko"
acb,pozas pepe,17,1,"Pozas, Pepe"
