model,seed,mae,rmse,r2,seconds,best_epoch
GRU,42,5.6642046,7.3584414,0.1658915154299639,20.40684134000021,10.2
GRU,123,5.659837,7.349374,0.16796553517888613,21.985920799999985,11.8
GRU,2026,5.65312,7.349698,0.16780271100785954,19.56917375999983,9.0
LSTM,42,5.6518707,7.3287835,0.1725033456216261,20.907226240000092,11.4
LSTM,123,5.6444902,7.330203,0.1723956939757007,19.299569079999856,10.0
LSTM,2026,5.6507215,7.325656,0.17329947403119894,22.792839959999945,13.0
