model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,delta_mae_vs_elasticnet,delta_rmse_vs_elasticnet
LSTM,5.649027633666992,0.23823557843520532,7.328214454650879,0.2690150272891918,0.17273283787617527,0.0427875840517618,-0.05614146698176814,0.10712185511152317
GRU,5.659053802490234,0.22692895672586874,7.35250415802002,0.25139977972318345,0.1672199205389032,0.04054199644590325,-0.046115298158525775,0.13141155848066433
MLP_small_RLR_Huber,5.688512433333334,0.27413934535894957,7.43695514,0.311430145002422,0.147638539011501,0.057962239401762525,-0.016656667315426255,0.21586254046064468
Lasso,5.703432133135104,0.20893374092443348,7.220430956076342,0.25865206446075306,0.19687469281920067,0.041236053943805064,-0.0017369675136560403,-0.0006616434630135615
ElasticNet,5.70516910064876,0.21040243276428117,7.221092599539356,0.25985592198559865,0.19672793483772252,0.04141113137518374,0.0,0.0
