model,fold,feature,coefficient,abs_coefficient,feature_scale
ElasticNet,1,STL_roll5,-0.541332511817814,0.541332511817814,standardized_numeric
ElasticNet,1,TOV_roll10,-0.2556289258428561,0.2556289258428561,standardized_numeric
ElasticNet,1,TOV_roll5,0.6389775656915615,0.6389775656915615,standardized_numeric
ElasticNet,1,TRB_roll10,-0.21783241217147284,0.21783241217147284,standardized_numeric
ElasticNet,1,TRB_roll5,-0.10186105594413071,0.10186105594413071,standardized_numeric
ElasticNet,1,TS_roll10,0.48043724275716826,0.48043724275716826,standardized_numeric
ElasticNet,1,TS_roll5,-0.6375411281621156,0.6375411281621156,standardized_numeric
ElasticNet,1,eFG_roll10,-0.06889372522725122,0.06889372522725122,standardized_numeric
ElasticNet,1,eFG_roll5,0.47241156350412045,0.47241156350412045,standardized_numeric
ElasticNet,1,rest_days_player,-0.12394606107507952,0.12394606107507952,standardized_numeric
Lasso,2,competition_acb,-0.27408450275598223,0.27408450275598223,one_hot
Lasso,2,competition_eurocup,0.03611941359539064,0.03611941359539064,one_hot
Lasso,2,competition_euroleague,0.0,0.0,one_hot
Lasso,2,3P_rate_roll10,0.16333736869525492,0.16333736869525492,standardized_numeric
Lasso,2,3P_rate_roll5,-0.6573445840465931,0.6573445840465931,standardized_numeric
Lasso,2,AST_TOV_roll10,0.17980789600359579,0.17980789600359579,standardized_numeric
Lasso,2,AST_TOV_roll5,0.028356000994284838,0.028356000994284838,standardized_numeric
Lasso,2,AST_roll10,0.0,0.0,standardized_numeric
Lasso,2,AST_roll5,-0.13880459968058317,0.13880459968058317,standardized_numeric
Lasso,2,DRB_roll10,-0.06664135348811502,0.06664135348811502,standardized_numeric
Lasso,2,DRB_roll5,-0.0,0.0,standardized_numeric
Lasso,2,FGA_roll10,0.015138185319313874,0.015138185319313874,standardized_numeric
Lasso,2,FGA_roll5,2.175902635937911,2.175902635937911,standardized_numeric
Lasso,2,FTA_roll10,-0.43310015792958884,0.43310015792958884,standardized_numeric
Lasso,2,FTA_roll5,1.193470545274045,1.193470545274045,standardized_numeric
Lasso,2,FT_rate_roll10,0.2008640631899965,0.2008640631899965,standardized_numeric
Lasso,2,FT_rate_roll5,-0.5198116720830946,0.5198116720830946,standardized_numeric
Lasso,2,MP_min_roll10,-0.10483954978729615,0.10483954978729615,standardized_numeric
Lasso,2,MP_min_roll5,0.5640751430830504,0.5640751430830504,standardized_numeric
Lasso,2,ORB_roll10,0.15541787045729002,0.15541787045729002,standardized_numeric
Lasso,2,ORB_roll5,-0.06095917855530006,0.06095917855530006,standardized_numeric
Lasso,2,PF_roll10,0.22010247130103708,0.22010247130103708,standardized_numeric
Lasso,2,PF_roll5,0.08541053252239039,0.08541053252239039,standardized_numeric
Lasso,2,PIR_roll10,0.9039262890206001,0.9039262890206001,standardized_numeric
Lasso,2,PIR_roll5,2.164606505634888,2.164606505634888,standardized_numeric
Lasso,2,PTS_roll10,-0.2352946078000051,0.2352946078000051,standardized_numeric
Lasso,2,PTS_roll5,-2.379059769023702,2.379059769023702,standardized_numeric
Lasso,2,STL_roll10,0.215493141609955,0.215493141609955,standardized_numeric
Lasso,2,STL_roll5,-0.4795826555074894,0.4795826555074894,standardized_numeric
Lasso,2,TOV_roll10,-0.23815725050231415,0.23815725050231415,standardized_numeric
Lasso,2,TOV_roll5,0.7341294786150417,0.7341294786150417,standardized_numeric
Lasso,2,TRB_roll10,-0.0,0.0,standardized_numeric
Lasso,2,TRB_roll5,-0.15478779070860973,0.15478779070860973,standardized_numeric
Lasso,2,TS_roll10,0.47477529005999214,0.47477529005999214,standardized_numeric
Lasso,2,TS_roll5,-0.497567792206911,0.497567792206911,standardized_numeric
Lasso,2,eFG_roll10,-0.07729491346175797,0.07729491346175797,standardized_numeric
