fold,coefficient_correlation,same_sign_share
1,0.9930395072302447,0.8421052631578947
2,0.9809328319772319,0.9473684210526315
3,0.9842281363676555,0.9473684210526315
4,0.9878343308803519,0.9473684210526315
5,0.9927892367779446,0.9210526315789473
