model,family,representation,seeds,role,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,delta_mae_vs_elasticnet,delta_rmse_vs_elasticnet,mae_rank,rmse_rank,r2_rank
Lasso,ML,tabular rolling,1,best linear metrics,5.703432133135104,0.2089337409244334,7.220430956076342,0.258652064460753,0.1968746928192006,0.041236053943805,-0.001736967513656,-0.0006616434630135,4.0,1.0,1.0
ElasticNet,ML,tabular rolling,1,interpretable linear reference,5.70516910064876,0.2104024327642811,7.221092599539356,0.2598559219855986,0.1967279348377225,0.0414111313751837,0.0,0.0,5.0,2.0,2.0
MLP_small_RLR_Huber,DL,tabular rolling,3,best tabular DL,5.688512433333334,0.2741393453589495,7.43695514,0.311430145002422,0.147638539011501,0.0579622394017625,-0.0166566673154262,0.2158625404606446,3.0,5.0,5.0
LSTM,DL,sequence 10 games,3,best MAE,5.649027633666992,0.2382355784352053,7.328214454650879,0.2690150272891918,0.1727328378761752,0.0427875840517618,-0.0561414669817681,0.1071218551115231,1.0,3.0,3.0
GRU,DL,sequence 10 games,3,sequence comparison,5.659053802490234,0.2269289567258687,7.35250415802002,0.2513997797231834,0.1672199205389032,0.0405419964459032,-0.0461152981585257,0.1314115584806643,2.0,4.0,4.0
