competition,eligibility_status,rows,players,minutes_mean,minutes_median,pir_mean,pir_median,observed_appearances_mean,observed_appearances_median
acb,excluded,1011,272,12.651071546323772,13.85,5.11078140454995,2.0,13.852621167161226,16.0
acb,retained,2622,222,18.653616831934908,19.466666666666665,7.757437070938215,7.0,15.99160945842868,17.0
eurocup,excluded,1221,351,14.015929565929566,14.916666666666666,5.82964782964783,3.0,9.80999180999181,10.0
eurocup,retained,2095,287,19.492474144789178,20.416666666666668,8.362291169451074,7.0,11.426252983293557,12.0
euroleague,excluded,1076,245,11.717177819083023,10.241666666666667,4.474907063197026,1.0,15.04460966542751,17.0
euroleague,retained,2552,203,19.021283960292582,19.916666666666668,8.232758620689655,7.0,17.511755485893417,19.0
